depth_fsw,bottom_time_min,gas_mix,time_to_first_stop,stop_190,stop_180,stop_170,stop_160,stop_150,stop_140,stop_130,stop_120,stop_110,stop_100,stop_90,stop_80,stop_70,stop_60,stop_50,stop_40,stop_30,stop_20,total_ascent_time,chamber_o2_periods,section,source_page,notes
260,30,10.0-14.6,4:40,,,,,,,,,7,0,2,5,6,9,10,10,33,62,,4,decompression,12-37,manual reviewed
260,40,10.0-14.6,4:40,,,,,,,,7,0,3,8,9,10,15,15,15,35,64,,5,decompression,12-37,manual reviewed
260,60,10.0-14.6,4:40,,,,,,,,7,3,7,10,14,16,21,21,21,36,66,,6,decompression,12-37,manual reviewed exceptional exposure
260,80,10.0-14.6,4:40,,,,,,,,7,6,10,13,17,23,23,23,23,36,66,,7,decompression,12-37,manual reviewed exceptional exposure
260,100,10.0-14.6,4:20,,,,,,,7,2,9,13,16,20,23,23,23,23,36,66,,8,decompression,12-37,manual reviewed exceptional exposure
260,120,10.0-14.6,4:20,,,,,,,7,4,11,14,19,20,23,23,23,23,36,66,,8,decompression,12-37,manual reviewed exceptional exposure
270,10,10.0-14.2,5:20,,,,,,,,,7,0,0,3,3,4,10,10,17,28,,2,decompression,12-37,manual reviewed
270,20,10.0-14.2,5:00,,,,,,,,7,0,0,3,6,6,8,10,10,29,52,,3,decompression,12-37,manual reviewed
270,30,10.0-14.2,5:00,,,,,,,,7,0,3,6,6,9,13,13,13,34,62,,4,decompression,12-37,manual reviewed
270,40,10.0-14.2,4:40,,,,,,,7,0,2,5,8,8,12,16,16,16,35,66,,5,decompression,12-37,manual reviewed exceptional exposure
270,60,10.0-14.2,4:40,,,,,,,7,0,6,8,10,14,19,23,23,23,36,66,,6,decompression,12-37,manual reviewed exceptional exposure
270,80,10.0-14.2,4:40,,,,,,,7,3,8,11,14,17,23,23,23,23,36,66,,7,decompression,12-37,manual reviewed exceptional exposure
270,100,10.0-14.2,4:40,,,,,,,7,5,11,13,16,20,23,23,23,23,36,66,,8,decompression,12-37,manual reviewed exceptional exposure
270,120,10.0-14.2,4:40,,,,,,,7,8,12,16,19,20,23,23,23,23,36,66,,8,decompression,12-37,manual reviewed exceptional exposure
280,10,10.0-13.7,5:40,,,,,,,,,,7,0,0,3,4,10,10,18,31,,2,decompression,12-37,manual reviewed
280,20,10.0-13.7,5:20,,,,,,,,,7,0,0,4,6,7,10,10,30,54,,3,decompression,12-37,manual reviewed
280,30,10.0-13.7,5:00,,,,,,,,7,0,1,5,5,9,12,12,12,35,64,,4,decompression,12-37,manual reviewed
280,40,10.0-13.7,5:00,,,,,,,7,0,4,6,8,9,12,17,17,17,35,66,,5,decompression,12-37,manual reviewed exceptional exposure
280,60,10.0-13.7,5:00,,,,,,,7,4,6,8,12,15,18,23,23,23,36,66,,7,decompression,12-37,manual reviewed exceptional exposure
280,80,10.0-13.7,4:40,,,,,,,7,0,7,9,11,15,17,23,23,23,36,66,,8,decompression,12-37,manual reviewed exceptional exposure
280,100,10.0-13.7,4:40,,,,,,,7,2,9,11,15,17,20,23,23,23,36,66,,8,decompression,12-37,manual reviewed exceptional exposure
280,120,10.0-13.7,4:40,,,,,,,7,4,11,13,16,19,20,23,23,23,36,66,,8,decompression,12-37,manual reviewed exceptional exposure
290,10,10.0-13.3,5:40,,,,,,,,7,0,0,0,4,3,4,10,10,19,33,,2,decompression,12-37,manual reviewed
290,20,10.0-13.3,5:20,,,,,,,7,0,0,2,6,6,6,9,10,10,30,56,,3,decompression,12-37,manual reviewed
290,30,10.0-13.3,5:20,,,,,,,7,0,2,5,5,9,9,14,14,14,34,63,,5,decompression,12-37,manual reviewed
290,40,10.0-13.3,5:20,,,,,,,7,0,5,7,8,11,13,17,17,17,35,66,,5,decompression,12-37,manual reviewed exceptional exposure
290,60,10.0-13.3,5:00,,,,,,7,0,6,7,9,12,15,20,23,23,23,36,66,,7,decompression,12-37,manual reviewed exceptional exposure
290,80,10.0-13.3,5:00,,,,,,,7,2,8,10,12,16,19,23,23,23,36,66,,8,decompression,12-37,manual reviewed exceptional exposure
290,100,10.0-13.3,5:00,,,,,,,7,5,10,12,15,19,20,23,23,23,36,66,,8,decompression,12-37,manual reviewed exceptional exposure
290,120,10.0-13.3,5:00,,,,,,,7,8,11,16,17,19,20,23,23,23,36,66,,8,decompression,12-37,manual reviewed exceptional exposure
300,10,10.0-12.9,6:00,,,,,,,,7,0,0,0,4,3,4,10,10,19,33,,2,decompression,12-38,manual reviewed
