depth_fsw,bottom_time_min,gas_mix,time_to_first_stop,stop_130,stop_120,stop_110,stop_100,stop_90,stop_80,stop_70,stop_60,stop_50,stop_40,stop_30,stop_20,total_ascent_time,chamber_o2_periods,repeat_group,section,source_page,notes
60,140,AIR,1:20,,,,,,,,,,,,124,,1.5,Z,csv_import,,
60,150,AIR,1:20,,,,,,,,,,,,143,,2,Z,csv_import,,
60,160,AIR,1:20,,,,,,,,,,,,158,,2,,csv_import,,
60,170,AIR,1:20,,,,,,,,,,,,178,,2,,csv_import,,
60,180,AIR,1:20,,,,,,,,,,,,201,,2.5,,csv_import,,
60,190,AIR,1:20,,,,,,,,,,,,222,,2.5,,csv_import,,
60,200,AIR,1:20,,,,,,,,,,,,240,,2.5,,csv_import,,
60,210,AIR,1:20,,,,,,,,,,,,256,,3,,csv_import,,
60,220,AIR,1:20,,,,,,,,,,,,278,,3,,csv_import,,
60,230,AIR,1:20,,,,,,,,,,,,300,,3.5,,csv_import,,
60,240,AIR,1:20,,,,,,,,,,,,321,,3.5,,csv_import,,
60,270,AIR,1:20,,,,,,,,,,,,398,,4,,csv_import,,
60,300,AIR,1:20,,,,,,,,,,,,456,,4.5,,csv_import,,
70,6,AIR,,,,,,,,,,,,,,,,A,no_decompression,,
70,10,AIR,,,,,,,,,,,,,,,,B,no_decompression,,
70,14,AIR,,,,,,,,,,,,,,,,C,no_decompression,,
70,19,AIR,,,,,,,,,,,,,,,,D,no_decompression,,
70,23,AIR,,,,,,,,,,,,,,,,E,no_decompression,,
70,28,AIR,,,,,,,,,,,,,,,,F,no_decompression,,
70,32,AIR,,,,,,,,,,,,,,,,G,no_decompression,,
70,37,AIR,,,,,,,,,,,,,,,,H,no_decompression,,
70,42,AIR,,,,,,,,,,,,,,,,I,no_decompression,,
70,47,AIR,,,,,,,,,,,,,,,,J,no_decompression,,
70,48,AIR,,,,,,,,,,,,,,,,Z,no_decompression,,
70,50,AIR,1:40,,,,,,,,,,,,2,,0.5,K,csv_import,,
70,55,AIR,1:40,,,,,,,,,,,,5,,0.5,L,csv_import,,
70,60,AIR,1:40,,,,,,,,,,,,14,,0.5,M,csv_import,,
70,70,AIR,1:40,,,,,,,,,,,,24,,0.5,N,csv_import,,
70,80,AIR,1:40,,,,,,,,,,,,44,,1,O,csv_import,,
70,90,AIR,1:40,,,,,,,,,,,,64,,1,Z,csv_import,,
70,100,AIR,1:40,,,,,,,,,,,,88,,1.5,Z,csv_import,,
70,110,AIR,1:40,,,,,,,,,,,,120,,1.5,Z,csv_import,,
70,120,AIR,1:40,,,,,,,,,,,,145,,2,Z,csv_import,,
70,130,AIR,1:40,,,,,,,,,,,,167,,2,Z,csv_import,,
70,140,AIR,1:40,,,,,,,,,,,,189,,2.5,,csv_import,,
70,150,AIR,1:40,,,,,,,,,,,,219,,2.5,,csv_import,,
70,160,AIR,1:20,,,,,,,,,,,1,,,3,,csv_import,,
70,170,AIR,1:20,,,,,,,,,,,2,,,3,,csv_import,,
70,180,AIR,1:20,,,,,,,,,,,4,,,3.5,,csv_import,,
70,190,AIR,1:20,,,,,,,,,,,5,,,3.5,,csv_import,,
70,200,AIR,1:20,,,,,,,,,,,9,,,4,,csv_import,,
70,210,AIR,1:20,,,,,,,,,,,13,,,4,,csv_import,,
70,240,AIR,1:20,,,,,,,,,,,25,,,5,,csv_import,,
80,5,AIR,,,,,,,,,,,,,,,,A,no_decompression,,
80,9,AIR,,,,,,,,,,,,,,,,B,no_decompression,,
80,12,AIR,,,,,,,,,,,,,,,,C,no_decompression,,
80,16,AIR,,,,,,,,,,,,,,,,D,no_decompression,,
80,20,AIR,,,,,,,,,,,,,,,,E,no_decompression,,
80,24,AIR,,,,,,,,,,,,,,,,F,no_decompression,,
80,28,AIR,,,,,,,,,,,,,,,,G,no_decompression,,
80,32,AIR,,,,,,,,,,,,,,,,H,no_decompression,,
80,36,AIR,,,,,,,,,,,,,,,,I,no_decompression,,
80,39,AIR,,,,,,,,,,,,,,,,J,no_decompression,,
80,40,AIR,2:00,,,,,,,,,,,,1,,0.5,J,csv_import,,
80,45,AIR,2:00,,,,,,,,,,,,10,,0.5,K,csv_import,,
80,50,AIR,2:00,,,,,,,,,,,,17,,0.5,M,csv_import,,
80,55,AIR,2:00,,,,,,,,,,,,24,,0.5,M,csv_import,,
80,60,AIR,2:00,,,,,,,,,,,,30,,1,N,csv_import,,
80,70,AIR,2:00,,,,,,,,,,,,54,,1,O,csv_import,,
80,80,AIR,2:00,,,,,,,,,,,,77,,1.5,Z,csv_import,,
80,90,AIR,2:00,,,,,,,,,,,,114,,1.5,Z,csv_import,,
80,100,AIR,1:40,,,,,,,,,,,1,,,2,Z,csv_import,,
80,110,AIR,1:40,,,,,,,,,,,6,,,2.5,Z,csv_import,,
80,120,AIR,1:40,,,,,,,,,,,10,,,2.5,,csv_import,,
80,130,AIR,1:40,,,,,,,,,,,14,,,3,,csv_import,,
80,140,AIR,1:40,,,,,,,,,,,17,,,3.5,,csv_import,,
80,150,AIR,1:40,,,,,,,,,,,19,,,3.5,,csv_import,,
80,160,AIR,1:40,,,,,,,,,,,21,,,4,,csv_import,,
80,170,AIR,1:40,,,,,,,,,,,27,,,4,,csv_import,,
80,180,AIR,1:40,,,,,,,,,,,33,,,4.5,,csv_import,,
80,210,AIR,1:40,,,,,,,,,,,51,,,5,,csv_import,,
90,4,AIR,,,,,,,,,,,,,,,,A,no_decompression,,
90,7,AIR,,,,,,,,,,,,,,,,B,no_decompression,,
90,11,AIR,,,,,,,,,,,,,,,,C,no_decompression,,
90,14,AIR,,,,,,,,,,,,,,,,D,no_decompression,,
90,17,AIR,,,,,,,,,,,,,,,,E,no_decompression,,
90,21,AIR,,,,,,,,,,,,,,,,F,no_decompression,,
90,24,AIR,,,,,,,,,,,,,,,,G,no_decompression,,
90,28,AIR,,,,,,,,,,,,,,,,H,no_decompression,,
90,31,AIR,,,,,,,,,,,,,,,,I,no_decompression,,
90,33,AIR,,,,,,,,,,,,,,,,J,no_decompression,,
90,35,AIR,2:20,,,,,,,,,,,,4,,0.5,J,csv_import,,
90,40,AIR,2:20,,,,,,,,,,,,14,,0.5,L,csv_import,,
90,45,AIR,2:20,,,,,,,,,,,,23,,0.5,M,csv_import,,
90,50,AIR,2:20,,,,,,,,,,,,31,,1,N,csv_import,,
90,55,AIR,2:20,,,,,,,,,,,,39,,1,O,csv_import,,
90,60,AIR,2:20,,,,,,,,,,,,56,,1,O,csv_import,,
90,70,AIR,2:20,,,,,,,,,,,,83,,1.5,Z,csv_import,,
90,80,AIR,2:00,,,,,,,,,,,5,125,,2,Z,csv_import,,
90,90,AIR,2:00,,,,,,,,,,,13,158,,2,,csv_import,,
90,100,AIR,2:00,,,,,,,,,,,19,185,,2.5,,csv_import,,
90,110,AIR,2:00,,,,,,,,,,,25,224,,3,,csv_import,,
90,120,AIR,1:40,,,,,,,,,,2,28,256,,3.5,,csv_import,,
90,130,AIR,1:40,,,,,,,,,,5,28,291,,3.5,,csv_import,,
90,140,AIR,1:40,,,,,,,,,,8,28,330,,4,,csv_import,,
90,150,AIR,1:40,,,,,,,,,,11,34,378,,4.5,,csv_import,,
90,160,AIR,1:40,,,,,,,,,,13,40,418,,4.5,,csv_import,,
90,170,AIR,1:40,,,,,,,,,,15,45,451,,5,,csv_import,,
90,180,AIR,1:40,,,,,,,,,,16,51,479,,5.5,,csv_import,,
90,240,AIR,1:40,,,,,,,,,,42,68,592,,7.5,,csv_import,,
100,4,AIR,,,,,,,,,,,,,,,,A,no_decompression,,
100,6,AIR,,,,,,,,,,,,,,,,B,no_decompression,,
100,9,AIR,,,,,,,,,,,,,,,,C,no_decompression,,
100,12,AIR,,,,,,,,,,,,,,,,D,no_decompression,,
100,15,AIR,,,,,,,,,,,,,,,,E,no_decompression,,
100,18,AIR,,,,,,,,,,,,,,,,F,no_decompression,,
100,21,AIR,,,,,,,,,,,,,,,,G,no_decompression,,
100,25,AIR,,,,,,,,,,,,,,,,H,no_decompression,,
100,30,AIR,2:40,,,,,,,,,,,,3,,0.5,J,csv_import,,
100,35,AIR,2:40,,,,,,,,,,,,15,,0.5,L,csv_import,,
100,40,AIR,2:40,,,,,,,,,,,,26,,1,M,csv_import,,
100,45,AIR,2:40,,,,,,,,,,,,36,,1,N,csv_import,,
100,50,AIR,2:40,,,,,,,,,,,,47,,1,O,csv_import,,
100,55,AIR,2:40,,,,,,,,,,,,65,,1.5,Z,csv_import,,
100,60,AIR,2:40,,,,,,,,,,,,81,,1.5,Z,csv_import,,
100,70,AIR,2:20,,,,,,,,,,,11,124,,2,Z,csv_import,,
100,80,AIR,2:20,,,,,,,,,,,21,160,,2.5,Z,csv_import,,
100,90,AIR,2:00,,,,,,,,,,2,28,196,,2.5,,csv_import,,
100,100,AIR,2:00,,,,,,,,,,9,28,241,,3,,csv_import,,
100,110,AIR,2:00,,,,,,,,,,14,28,278,,3.5,,csv_import,,
100,120,AIR,2:00,,,,,,,,,,19,28,324,,4,,csv_import,,
100,150,AIR,1:40,,,,,,,,,3,26,46,461,,5,,csv_import,,
110,3,AIR,,,,,,,,,,,,,,,,A,no_decompression,,
110,6,AIR,,,,,,,,,,,,,,,,B,no_decompression,,
110,8,AIR,,,,,,,,,,,,,,,,C,no_decompression,,
110,11,AIR,,,,,,,,,,,,,,,,D,no_decompression,,
110,14,AIR,,,,,,,,,,,,,,,,E,no_decompression,,
110,16,AIR,,,,,,,,,,,,,,,,F,no_decompression,,
110,19,AIR,,,,,,,,,,,,,,,,G,no_decompression,,
110,20,AIR,,,,,,,,,,,,,,,,H,no_decompression,,
110,25,AIR,3:00,,,,,,,,,,,,5,,0.5,I,csv_import,,
110,30,AIR,3:00,,,,,,,,,,,,14,,0.5,K,csv_import,,
110,35,AIR,3:00,,,,,,,,,,,,27,,1,M,csv_import,,
110,40,AIR,3:00,,,,,,,,,,,,39,,1,N,csv_import,,
110,45,AIR,3:00,,,,,,,,,,,,50,,1,O,csv_import,,
110,50,AIR,3:00,,,,,,,,,,,,71,,1.5,Z,csv_import,,
110,55,AIR,2:40,,,,,,,,,,,5,85,,1.5,Z,csv_import,,
110,60,AIR,2:40,,,,,,,,,,,13,111,,2,Z,csv_import,,
110,70,AIR,2:40,,,,,,,,,,,26,155,,2.5,Z,csv_import,,
