depth_fsw,bottom_time_min,gas_mix,time_to_first_stop,stop_130,stop_120,stop_110,stop_100,stop_90,stop_80,stop_70,stop_60,stop_50,stop_40,stop_30,stop_20,chamber_o2_periods,repeat_group
50,270,AIR,1:00,,,,,,,,,,,,236,2.5,
50,300,AIR,1:00,,,,,,,,,,,,285,3,
50,330,AIR,1:00,,,,,,,,,,,,345,3.5,
50,360,AIR,1:00,,,,,,,,,,,,393,3.5,
50,420,AIR,1:00,,,,,,,,,,,,464,4.5,
55,74,AIR,1:50,,,,,,,,,,,,,0,L
55,75,AIR,1:10,,,,,,,,,,,,1,0.5,L
55,80,AIR,1:10,,,,,,,,,,,,4,0.5,M
55,90,AIR,1:10,,,,,,,,,,,,10,0.5,N
55,100,AIR,1:10,,,,,,,,,,,,17,0.5,O
55,110,AIR,1:10,,,,,,,,,,,,34,0.5,O
55,120,AIR,1:10,,,,,,,,,,,,48,1,Z
55,130,AIR,1:10,,,,,,,,,,,,59,1,Z
55,140,AIR,1:10,,,,,,,,,,,,84,1,Z
55,150,AIR,1:10,,,,,,,,,,,,105,1.5,Z
55,160,AIR,1:10,,,,,,,,,,,,123,1.5,Z
55,170,AIR,1:10,,,,,,,,,,,,138,1.5,Z
55,180,AIR,1:10,,,,,,,,,,,,151,2,Z
55,190,AIR,1:10,,,,,,,,,,,,169,2,
55,200,AIR,1:10,,,,,,,,,,,,190,2,
55,210,AIR,1:10,,,,,,,,,,,,208,2.5,
55,220,AIR,1:10,,,,,,,,,,,,224,2.5,
55,230,AIR,1:10,,,,,,,,,,,,239,2.5,
55,240,AIR,1:10,,,,,,,,,,,,254,3,
55,270,AIR,1:10,,,,,,,,,,,,313,3.5,
55,300,AIR,1:10,,,,,,,,,,,,380,3.5,
55,330,AIR,1:10,,,,,,,,,,,,432,4,
55,360,AIR,1:10,,,,,,,,,,,,474,4.5,
60,63,AIR,2:00,,,,,,,,,,,,,0,K
60,65,AIR,1:20,,,,,,,,,,,,2,0.5,L
60,70,AIR,1:20,,,,,,,,,,,,7,0.5,L
60,80,AIR,1:20,,,,,,,,,,,,14,0.5,N
60,90,AIR,1:20,,,,,,,,,,,,23,0.5,O
60,100,AIR,1:20,,,,,,,,,,,,42,1,Z
60,110,AIR,1:20,,,,,,,,,,,,57,1,Z
60,120,AIR,1:20,,,,,,,,,,,,75,1,Z
60,130,AIR,1:20,,,,,,,,,,,,102,1.5,Z
60,140,AIR,1:20,,,,,,,,,,,,124,1.5,Z
60,150,AIR,1:20,,,,,,,,,,,,143,2,Z
60,160,AIR,1:20,,,,,,,,,,,,158,2,
60,170,AIR,1:20,,,,,,,,,,,,178,2,
60,180,AIR,1:20,,,,,,,,,,,,201,2.5,
60,190,AIR,1:20,,,,,,,,,,,,222,2.5,
60,200,AIR,1:20,,,,,,,,,,,,240,2.5,
60,210,AIR,1:20,,,,,,,,,,,,256,3,
60,220,AIR,1:20,,,,,,,,,,,,278,3,
60,230,AIR,1:20,,,,,,,,,,,,300,3.5,
60,240,AIR,1:20,,,,,,,,,,,,321,3.5,
60,270,AIR,1:20,,,,,,,,,,,,398,4,
60,300,AIR,1:20,,,,,,,,,,,,456,4.5,
75,48,AIR,2:20,,,,,,,,,,,,,0,K
75,50,AIR,1:40,,,,,,,,,,,,2,0.5,K
75,55,AIR,1:40,,,,,,,,,,,,5,0.5,L
75,60,AIR,1:40,,,,,,,,,,,,14,0.5,M
75,70,AIR,1:40,,,,,,,,,,,,24,0.5,N
75,80,AIR,1:40,,,,,,,,,,,,44,1,O
75,90,AIR,1:40,,,,,,,,,,,,64,1,Z
75,100,AIR,1:40,,,,,,,,,,,,88,1.5,Z
75,110,AIR,1:40,,,,,,,,,,,,120,1.5,Z
75,120,AIR,1:40,,,,,,,,,,,,145,2,Z
75,130,AIR,1:40,,,,,,,,,,,,167,2,Z
75,140,AIR,1:40,,,,,,,,,,,,189,2.5,
75,150,AIR,1:40,,,,,,,,,,,,219,2.5,
75,160,AIR,1:20,,,,,,,,,,,1,,3,
75,170,AIR,1:20,,,,,,,,,,,2,,3,
75,180,AIR,1:20,,,,,,,,,,,4,,3.5,
75,190,AIR,1:20,,,,,,,,,,,5,,3.5,
75,200,AIR,1:20,,,,,,,,,,,9,,4,
75,210,AIR,1:20,,,,,,,,,,,13,,4,
75,240,AIR,1:20,,,,,,,,,,,25,,5,
80,39,AIR,2:40,,,,,,,,,,,,,0,J
80,40,AIR,2:00,,,,,,,,,,,,1,0.5,J
80,45,AIR,2:00,,,,,,,,,,,,10,0.5,K
80,50,AIR,2:00,,,,,,,,,,,,17,0.5,M
80,55,AIR,2:00,,,,,,,,,,,,24,0.5,M
80,60,AIR,2:00,,,,,,,,,,,,30,1,N
80,70,AIR,2:00,,,,,,,,,,,,54,1,O
80,80,AIR,2:00,,,,,,,,,,,,77,1.5,Z
80,90,AIR,2:00,,,,,,,,,,,,114,1.5,Z
80,100,AIR,1:40,,,,,,,,,,,1,,2,Z
80,110,AIR,1:40,,,,,,,,,,,6,,2.5,Z
80,120,AIR,1:40,,,,,,,,,,,10,,2.5,
80,130,AIR,1:40,,,,,,,,,,,14,,3,
80,140,AIR,1:40,,,,,,,,,,,17,,3.5,
80,150,AIR,1:40,,,,,,,,,,,19,,3.5,
80,160,AIR,1:40,,,,,,,,,,,21,,4,
80,170,AIR,1:40,,,,,,,,,,,27,,4,
80,180,AIR,1:40,,,,,,,,,,,33,,4.5,
80,210,AIR,1:40,,,,,,,,,,,51,,5,
90,33,AIR,3:00,,,,,,,,,,,,,0,J
90,35,AIR,2:20,,,,,,,,,,,,4,0.5,J
90,40,AIR,2:20,,,,,,,,,,,,14,0.5,L
90,45,AIR,2:20,,,,,,,,,,,,23,0.5,M
90,50,AIR,2:20,,,,,,,,,,,,31,1,N
90,55,AIR,2:20,,,,,,,,,,,,39,1,O
90,60,AIR,2:20,,,,,,,,,,,,56,1,O
90,70,AIR,2:20,,,,,,,,,,,,83,1.5,Z
90,80,AIR,2:00,,,,,,,,,,,5,125,2,Z
90,90,AIR,2:00,,,,,,,,,,,13,158,2,
90,100,AIR,2:00,,,,,,,,,,,19,185,2.5,
90,110,AIR,2:00,,,,,,,,,,,25,224,3,
90,120,AIR,1:40,,,,,,,,,,2,28,256,3.5,
90,130,AIR,1:40,,,,,,,,,,5,28,291,3.5,
90,140,AIR,1:40,,,,,,,,,,8,28,330,4,
90,150,AIR,1:40,,,,,,,,,,11,34,378,4.5,
90,160,AIR,1:40,,,,,,,,,,13,40,418,4.5,
90,170,AIR,1:40,,,,,,,,,,15,45,451,5,
90,180,AIR,1:40,,,,,,,,,,16,51,479,5.5,
90,240,AIR,1:40,,,,,,,,,,42,68,592,7.5,
100,25,AIR,3:20,,,,,,,,,,,,,,H
100,30,AIR,2:40,,,,,,,,,,,,3,0.5,J
100,35,AIR,2:40,,,,,,,,,,,,15,0.5,L
100,40,AIR,2:40,,,,,,,,,,,,26,1,M
100,45,AIR,2:40,,,,,,,,,,,,36,1,N
100,50,AIR,2:40,,,,,,,,,,,,47,1,O
100,55,AIR,2:40,,,,,,,,,,,,65,1.5,Z
100,60,AIR,2:40,,,,,,,,,,,,81,1.5,Z
100,70,AIR,2:20,,,,,,,,,,,11,124,2,Z
100,80,AIR,2:20,,,,,,,,,,,21,160,2.5,Z
100,90,AIR,2:00,,,,,,,,,,2,28,196,2.5,
100,100,AIR,2:00,,,,,,,,,,9,28,241,3,
100,110,AIR,2:00,,,,,,,,,,14,28,278,3.5,
100,120,AIR,2:00,,,,,,,,,,19,28,324,4,
100,150,AIR,1:40,,,,,,,,,3,26,46,461,5,
110,20,AIR,3:40,,,,,,,,,,,,,0,H
110,25,AIR,3:00,,,,,,,,,,,,5,0.5,I
110,30,AIR,3:00,,,,,,,,,,,,14,0.5,K
110,35,AIR,3:00,,,,,,,,,,,,27,1,M
110,40,AIR,3:00,,,,,,,,,,,,39,1,N
110,45,AIR,3:00,,,,,,,,,,,,50,1,O
110,50,AIR,3:00,,,,,,,,,,,,71,1.5,Z
110,55,AIR,2:40,,,,,,,,,,,5,85,1.5,Z
110,60,AIR,2:40,,,,,,,,,,,13,111,2,Z
110,70,AIR,2:40,,,,,,,,,,,26,155,2.5,Z
110,80,AIR,2:20,,,,,,,,,,9,28,200,2.5,
110,90,AIR,2:20,,,,,,,,,,18,28,249,3.5,
110,100,AIR,2:20,,,,,,,,,,25,28,295,3.5,
110,110,AIR,2:00,,,,,,,,,5,26,28,353,4,
110,120,AIR,2:00,,,,,,,,,10,26,35,413,4.5,
110,180,AIR,1:40,,,,,,,,3,23,47,68,593,7.5,
120,15,AIR,4:00,,,,,,,,,,,,,0,F
120,20,AIR,3:20,,,,,,,,,,,,4,0.5,H
120,25,AIR,3:20,,,,,,,,,,,,9,0.5,J
120,30,AIR,3:20,,,,,,,,,,,,24,0.5,L
120,35,AIR,3:20,,,,,,,,,,,,38,1,N
120,40,AIR,3:00,,,,,,,,,,,2,49,1,O
120,45,AIR,3:00,,,,,,,,,,,3,71,1.5,Z
120,50,AIR,3:00,,,,,,,,,,,10,85,1.5,Z
120,55,AIR,3:00,,,,,,,,,,,19,116,2,Z
120,60,AIR,3:00,,,,,,,,,,,27,142,2,Z
120,70,AIR,2:40,,,,,,,,,,13,28,190,2.5,
120,80,AIR,2:40,,,,,,,,,,24,28,246,3,
120,90,AIR,2:20,,,,,,,,,7,26,28,303,3.5,
120,100,AIR,2:20,,,,,,,,,15,25,28,372,4,
120,110,AIR,2:20,,,,,,,,,21,25,38,433,5,
120,120,AIR,2:00,,,,,,,,3,23,25,47,480,5.5,
130,12,AIR,4:20,,,,,,,,,,,,,0,F
130,15,AIR,3:40,,,,,,,,,,,,3,0.5,G
130,20,AIR,3:40,,,,,,,,,,,,8,0.5,I
130,25,AIR,3:40,,,,,,,,,,,,17,0.5,K
130,30,AIR,3:20,,,,,,,,,,,2,32,1,M
130,35,AIR,3:20,,,,,,,,,,,5,44,1,O
130,40,AIR,3:20,,,,,,,,,,,6,66,1.5,Z
130,45,AIR,3:00,,,,,,,,,,1,11,84,1.5,Z
130,50,AIR,3:00,,,,,,,,,,2,20,118,2,Z
130,55,AIR,3:00,,,,,,,,,,4,28,146,2,Z
130,60,AIR,3:00,,,,,,,,,,12,28,170,2.5,Z
130,70,AIR,2:40,,,,,,,,,1,26,28,235,3,
130,80,AIR,2:40,,,,,,,,,12,26,28,297,3.5,
130,90,AIR,2:40,,,,,,,,,22,25,28,375,4,
130,100,AIR,2:20,,,,,,,,6,23,26,38,444,5,
130,120,AIR,2:20,,,,,,,,17,24,27,57,534,6,
130,180,AIR,2:00,,,,,,,13,21,45,57,94,658,9,
140,10,AIR,4:40,,,,,,,,,,,,,0,E
140,15,AIR,4:00,,,,,,,,,,,,5,0.5,H
140,20,AIR,4:00,,,,,,,,,,,,13,0.5,J
140,25,AIR,3:40,,,,,,,,,,,,24,1,L
140,30,AIR,3:40,,,,,,,,,,,,37,1,N
140,35,AIR,3:20,,,,,,,,,,2,7,58,1.5,O
140,40,AIR,3:20,,,,,,,,,,4,7,82,1.5,Z
140,45,AIR,3:20,,,,,,,,,,5,18,114,2,Z
140,50,AIR,3:20,,,,,,,,,,8,27,145,2,Z
140,55,AIR,3:00,,,,,,,,,1,15,29,171,2.5,Z
140,60,AIR,3:00,,,,,,,,,2,23,28,209,3,
140,70,AIR,3:00,,,,,,,,,14,25,29,276,3.5,
140,80,AIR,2:40,,,,,,,,2,24,25,29,362,4,
140,90,AIR,2:40,,,,,,,,12,23,26,38,443,5,
150,8,AIR,5:00,,,,,,,,,,,,,0,E
150,10,AIR,4:20,,,,,,,,,,,,2,0.5,F
150,15,AIR,4:20,,,,,,,,,,,,8,0.5,H
150,20,AIR,4:00,,,,,,,,,,,2,15,0.5,K
150,25,AIR,4:00,,,,,,,,,,,7,29,1,M
150,30,AIR,3:40,,,,,,,,,,4,7,45,1.5,O
150,35,AIR,3:40,,,,,,,,,,6,7,74,1.5,Z
150,40,AIR,3:20,,,,,,,,,2,6,14,106,2,Z
150,45,AIR,3:20,,,,,,,,,3,8,24,142,2,Z
150,50,AIR,3:20,,,,,,,,,4,14,28,170,2.5,Z
150,55,AIR,3:20,,,,,,,,,7,21,28,212,3,
150,60,AIR,3:20,,,,,,,,,11,26,28,248,3,
150,70,AIR,3:00,,,,,,,,3,24,25,28,330,4,
150,80,AIR,3:00,,,,,,,,15,23,26,35,430,4.5,
150,90,AIR,2:40,,,,,,,3,22,23,26,47,496,5.5,
150,120,AIR,2:20,,,,,,3,20,22,23,50,75,608,8,
150,180,AIR,2:00,,,,,2,19,20,42,48,79,121,694,10.5,
160,7,AIR,5:20,,,,,,,,,,,,,0,E
160,10,AIR,4:40,,,,,,,,,,,,4,0.5,F
160,15,AIR,4:20,,,,,,,,,,,2,10,0.5,I
160,20,AIR,4:00,,,,,,,,,,1,4,19,0.5,L
160,25,AIR,4:00,,,,,,,,,,4,7,35,1,N
160,30,AIR,3:40,,,,,,,,,2,6,7,62,1.5,Z
160,35,AIR,3:40,,,,,,,,,4,6,8,89,1.5,Z
160,40,AIR,3:40,,,,,,,,,6,6,21,134,2,Z
160,45,AIR,3:20,,,,,,,,2,5,11,28,166,2.5,Z
160,50,AIR,3:20,,,,,,,,2,8,19,28,207,3,
160,55,AIR,3:20,,,,,,,,3,11,26,28,248,3,
160,60,AIR,3:20,,,,,,,,6,17,25,29,291,3.5,
160,70,AIR,3:20,,,,,,,,15,23,26,29,399,4.5,
160,80,AIR,3:00,,,,,,,6,21,24,25,44,482,5.5,
170,6,AIR,5:40,,,,,,,,,,,,,0,D
170,10,AIR,5:00,,,,,,,,,,,,6,0.5,G
170,15,AIR,4:40,,,,,,,,,,,3,13,0.5,J
170,20,AIR,4:20,,,,,,,,,,3,6,24,1,M
170,25,AIR,4:00,,,,,,,,,1,7,7,41,1,O
170,30,AIR,4:00,,,,,,,,,5,7,7,77,1.5,Z
170,35,AIR,3:40,,,,,,,,2,6,6,15,120,2,Z
170,40,AIR,3:40,,,,,,,,4,6,9,25,158,2.5,Z
170,45,AIR,3:40,,,,,,,,5,7,16,28,197,2.5,Z
170,50,AIR,3:20,,,,,,,1,5,11,23,28,244,3,
170,55,AIR,3:20,,,,,,,2,7,16,26,28,289,3.5,
170,60,AIR,3:20,,,,,,,2,11,21,26,28,344,4,
170,70,AIR,3:20,,,,,,7,19,24,25,39,,454,5,
170,80,AIR,3:20,,,,,,17,22,23,26,53,,525,6,
170,90,AIR,3:00,,,,,8,19,22,23,37,66,,574,7,
170,120,AIR,2:40,,,,,9,19,20,22,42,60,94,659,9,
170,180,AIR,2:20,,,,10,18,19,40,43,70,97,156,703,11.5,
180,6,AIR,6:00,,,,,,,,,,,,,0,E
180,10,AIR,5:20,,,,,,,,,,,,8,0.5,G
180,15,AIR,4:40,,,,,,,,,,2,3,14,0.5,K
180,20,AIR,4:20,,,,,,,,,1,5,7,29,1,M
180,25,AIR,4:20,,,,,,,,,5,6,7,57,1.5,O
180,30,AIR,4:00,,,,,,,,3,6,6,7,95,1.5,Z
180,35,AIR,3:40,,,,,,,1,5,6,6,22,144,2,Z
180,40,AIR,3:40,,,,,,,2,6,5,13,28,178,2.5,
180,45,AIR,3:40,,,,,,,4,5,10,20,28,235,3,
180,50,AIR,3:40,,,,,,,4,8,13,25,29,277,3.5,
180,55,AIR,3:40,,,,,,,5,11,19,26,28,336,4,
180,60,AIR,3:20,,,,,,1,8,13,23,25,31,406,4.5,
180,70,AIR,3:20,,,,,,4,12,21,24,25,48,499,5.5,
190,5,AIR,6:20,,,,,,,,,,,,,0,D
190,10,AIR,5:20,,,,,,,,,,,2,8,0.5,H
190,15,AIR,4:40,,,,,,,,,,1,3,16,0.5,K
190,20,AIR,4:20,,,,,,,,,1,2,6,34,1,N
190,25,AIR,4:20,,,,,,,,2,6,7,7,72,1.5,Z
190,30,AIR,4:00,,,,,,,1,6,5,7,13,122,2,Z
190,35,AIR,4:00,,,,,,,4,5,6,8,26,165,2.5,Z
190,40,AIR,3:40,,,,,,1,5,5,8,17,28,217,3,
190,45,AIR,3:40,,,,,,2,5,6,12,24,29,264,3.5,
190,50,AIR,3:40,,,,,,3,5,10,17,26,28,324,4,
190,55,AIR,3:40,,,,,,4,8,10,24,25,30,397,4.5,
190,60,AIR,3:40,,,,,,5,10,16,24,25,40,454,5,
190,90,AIR,3:20,,,,11,19,20,21,28,51,83,626,,8.5,
190,120,AIR,3:00,,,,15,17,19,20,37,46,79,113,691,10.5,
